Type,Name,Short Description,Pillar
Team,Pass the Positivity,Be a motivator,Career
Team,Networking,Develop professional contacts,Career
Team,Career Skills,Expand your skill set,Career
Team,Grateful 5,Find 5 daily gratitudes,Emotional
Team,The Great Read,Read for joy,Emotional
Team,Manifest Your Goals,Make real progress,Emotional
Team,Hobby Time,Develop your hobby,Emotional
Team,Take Good Care,Prioritize self-care,Emotional
Team,Meditation Nation,Daily meditation practice,Emotional
Team,Mindful Minutes,Practice more mindful minutes,Emotional
Team,Habit Builder,Create a habit,Emotional
Team,Breathe in Balance,Relax with deep breathing,Emotional
Team,Cheap Thrills,Find free fun,Financial
Team,Chop the Costs,Cut your food costs,Financial
Team,Health2Wealth,Walk your way to better finances,Financial
Team,Raise the Funds,Save the most money for charity,Financial
Team,Push-ups for Pennies,Push-ups for a cause,Financial
Team,Veg Out,Eat more veggies,Physical
Team,Stretch Your Limit,Stretch for ergonomics,Physical
Team,Fit in Five,Get more workouts,Physical
Team,Space Odyssey,Tour the planets,Physical/Destination
Team,7 Natural Wonders,Visit the 7 natural wonders,Physical/Destination
Team,Birding Expedition,Find the world's most unique birds,Physical/Destination
Team,Blast from the Past,Walk through time,Physical/Destination
Team,Walk to the Moon,Journey through space,Physical/Destination
Team,Majestic National Parks,Tour U.S. national parks,Physical/Destination
Team,March the Mississippi,Travel the mighty river,Physical/Destination
Team,Amazon Expedition,Escape the forest,Physical/Destination
Team,Explore the Great Barrier Reef,An adventure on the ocean,Physical/Destination
Team,Great Wall of China,Travel the iconic wall,Physical/Destination
Team,Survive the Sahara,Explore the desert,Physical/Destination
Team,Andes Mountain Trek,Race across the Andes,Physical/Destination
Team,Antarctic Cool Down,Trek the frozen tundra,Physical/Destination
Team,New York to London,Skip the pond to London,Physical/Destination
Team,Reduce and Reuse,Reduce your footprint,Social
Team,The Daily Give,Give a gift each day,Social
Team,Helping Hand,Get more volunteer hours,Social
Team,Hunger Heros,Donate the most food,Social
Team,Check In,Stay connected,Social
Team,7 Wonders of the World,Visit the wonders of the world,Physical
Team,7 New Wonders,Visit the new 7 wonders of the world,Physical
Peer,Get Connected,Build your network,Career
Peer,Workday Play,Bring fun to work,Career
Peer,New People,Meet your co-workers,Career
Peer,Good Work Vibes,Think positive,Career
Peer,Neat and Tidy,Get organized,Career
Peer,Better Together,Seek ideas from co-workers,Career
Peer,Hourly Moves,Move more at work,Career
Peer,Acts of Kindness,Be kind to a co-worker,Career
Peer,Secure Passwords,Make safe passwords,Career
Peer,Screen Safety,Lock computer screens,Career
Peer,Install Updates,Check devices for updates,Career
Peer,Gear It Up,Wear safety gear,Career
Peer,Evading the Burnout,Decrease your chance of burnout,Career
Peer,Buckle Up,Wear your seatbelt,Career
Peer,Mindful Minutes,Be mindful each day,Emotional
Peer,Hooked on Books,Read more,Emotional
Peer,Reason to Smile,Add smiles to your day,Emotional
Peer,Vocab Rehab,Boost your vocabulary,Emotional
Peer,Push Yourself,Try a thing new each day,Emotional
Peer,New Hobby,Find a new hobby,Emotional
Peer,Morning Rituals,Start your day well,Emotional
Peer,Be Brave,Face a fear,Emotional
Peer,Flip It,Turn negatives into positives,Emotional
Peer,Daily Meditation,Meditate 5 minutes a day,Emotional
Peer,Go for Done,Get tasks done,Emotional
Peer,Be Grateful,Note your thanks,Emotional
Peer,No Regrets,Let go of resentments,Emotional
Peer,Life 2.0,Make things a little better,Emotional
Peer,Walk the Walk,Embrace your values,Emotional
Peer,Tune In,Listen to music for stress,Emotional
Peer,Tucked In,Make your bed,Emotional
Peer,Tea Break,Take breaks for tea,Emotional
Peer,Start Solving,Fix problems with questions,Emotional
Peer,Start Small,Forgive the small stuff,Emotional
Peer,Social Media Diet,Limit social media time,Emotional
Peer,Self-Care for Stress,Take care of Yourself,Emotional
Peer,See the Negative,Practice negative visualization,Emotional
Peer,Relaxing Breathing,Try the 4-7-8 breathing exercise,Emotional
Peer,Recharge in Nature,Take breaks outdoors,Emotional
Peer,Press Play,Learn by video,Emotional
Peer,Play Time,Make time for fun,Emotional
Peer,Past Times,Make time for hobbies,Emotional
Peer,My Mantra,Practice a personal mantra,Emotional
Peer,Morning Pages,Journal in the morning,Emotional
Peer,Mind Play,Play brain games,Emotional
Peer,Make Your Luck,Increase your luck,Emotional
Peer,Make New Music,Try a new instrument,Emotional
Peer,Love It and List It,Write lists to remember,Emotional
Peer,Listen and Learn,Listen to audiobooks and podcasts,Emotional
Peer,Less Stress,Try 1 stress reducer a day,Emotional
Peer,Lessons Learned,Grow from mistakes,Emotional
Peer,Learn On the Go,Learn while you move,Emotional
Peer,Learn Online,Take an online course,Emotional
Peer,Laugh It Up,Destress with laughter,Emotional
Peer,Keep It Simple,Increase efficiency with routines,Emotional
Peer,Inspire Smiles,Share what made you smile,Emotional
Peer,I Am Enough,Know your worth,Emotional
Peer,Hindsight is 20/20,Plan for next time,Emotional
Peer,Device-Free Hour,Take a device-free hour a day,Emotional
Peer,Check Yourself,Set realistic expectations,Emotional
Peer,Breathe 60,Take deep breaths,Emotional
Peer,Attitude Adjustment,Improve your mood,Emotional
Peer,Art Break,Lower stress with art,Emotional
Peer,Eat In,Save $ by dining in,Financial
Peer,Save 1,Skip one expense a day,Financial
Peer,Turn It Down,Turn down the thermostat,Financial
Peer,Travel Cheap,Spend less getting places,Financial
Peer,Smart Investments,Research investment options,Financial
Peer,Less Debt,Stay organized to reduce debt,Financial
Peer,Drink Tap,Save money on beverages,Financial
Peer,Coffee In,Drink coffee at home,Financial
Peer,50/30/20 Budget,Stick to the budget,Financial
Peer,Money Hound,Track your spending,Financial
Peer,A Dollar a Day,Save $1 each day,Financial
